GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,14.0,0.0,18,10.0,4,0,0,34.65,80.56,0.93,4.88,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,10.0,4,0,0,34.65,0.0,0.93,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,72.0,72.0,0.0,20,7.0,4,0,0,2.08,16.67,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,62.0,0.0,18,7.0,4,0,0,42.01,13.89,0.94,0.94,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,0.0,5.5,24,6.0,4,0,0,59.03,100.0,5.38,2.96,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,66.0,0.0,31,2.0,4,0,0,24.3,8.33,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,0.0,0.0,28,4.0,4,0,0,43.81,100.0,0.14,0.19,Reprovado
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,66.0,0.0,33,6.0,4,0,0,29.86,8.33,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.9,18,5.0,4,0,0,98.61,100.0,9.07,9.07,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,25,5.0,4,0,0,87.5,0.0,5.16,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,8.0,3.92,25,5.0,4,0,0,87.5,88.89,5.16,6.45,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,5.35,23,5.0,4,0,0,82.74,95.83,5.54,5.54,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.95,20,4.0,4,0,0,98.96,97.22,8.8,8.8,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,0.0,2.1,29,4.0,4,0,0,46.11,100.0,1.36,5.34,Reprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,66.0,0.0,29,4.0,4,0,0,46.11,8.33,1.36,2.25,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,32.0,0.0,29,4.0,4,0,0,46.11,55.56,1.36,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,25,7.0,4,0,0,21.58,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.0,16,5.0,4,0,0,96.3,100.0,7.56,7.33,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.4,18,5.0,4,0,0,99.31,100.0,8.88,8.88,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.9,19,9.0,4,0,0,97.92,100.0,8.18,8.18,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.0,24,5.0,4,0,0,76.52,100.0,4.1,5.63,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,8.25,18,7.0,4,0,0,87.88,94.44,5.94,6.95,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.75,33,7.0,4,0,0,99.31,100.0,8.7,6.96,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.25,25,5.0,4,0,0,96.18,100.0,8.86,8.86,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.4,20,8.0,4,0,0,96.87,100.0,8.82,8.82,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.25,18,7.0,4,0,0,97.92,100.0,7.33,7.33,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.75,18,5.0,4,0,0,96.53,97.22,8.51,8.51,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.65,17,5.0,4,0,0,99.31,100.0,9.17,9.17,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.25,19,7.0,4,0,0,95.66,100.0,7.96,7.96,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.25,24,6.0,4,0,0,98.96,100.0,7.1,7.1,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.75,18,5.0,4,0,0,97.57,100.0,8.5,8.5,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.4,20,7.0,4,0,0,96.87,100.0,7.79,7.79,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.65,24,5.0,4,0,0,96.3,100.0,7.37,7.25,Aprovado
