GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,0.0,18,6.0,2,1,0,100.0,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,5.04,22,14.0,2,1,0,100.0,100.0,5.04,5.04,Aprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,8.2,19,10.0,2,1,0,58.34,100.0,4.1,3.37,Aprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,0.0,19,10.0,2,1,0,75.0,100.0,0.0,2.75,Reprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,0.0,19,10.0,2,1,0,75.0,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,5.81,18,10.0,2,1,0,73.61,100.0,3.9,5.81,Aprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,8.32,20,12.0,2,1,0,100.0,100.0,8.32,8.32,Aprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,0.94,31,9.0,2,1,0,98.61,100.0,3.58,5.02,Reprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,5.09,18,10.0,2,1,0,95.84,100.0,5.25,5.25,Aprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,4.18,20,0.0,2,1,0,50.47,100.0,0.81,2.71,Reprovado
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,36.0,0.4,20,0.0,2,1,0,50.47,50.0,0.81,0.2,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Banco de Dados I,60.0,0.0,3.39,19,11.0,2,1,0,93.06,100.0,3.84,1.7,Reprovado
