GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
F,Solteiro(a),Processo Seletivo - SiSU,Organização Sistemas e Métodos,30.0,6.0,8.0,17,0.0,2,0,0,84.72,83.33,6.05,6.05,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,8.0,18,10.0,2,0,0,86.11,100.0,4.34,4.03,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Organização Sistemas e Métodos,30.0,6.0,9.0,33,0.0,2,0,0,74.24,83.33,6.03,5.42,Aprovado
M,Solteiro(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,26.0,0.0,29,0.0,2,0,0,31.3,27.78,1.21,0.02,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,14.0,0.0,29,0.0,2,0,0,31.3,61.11,1.21,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,28.0,0.5,29,0.0,2,0,0,31.3,22.22,1.21,2.37,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,18.0,0.0,29,0.0,2,0,0,31.3,50.0,1.21,0.17,Reprovado por Freqüência
M,Casado(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,0.0,9.88,30,5.0,2,0,0,83.51,100.0,8.27,9.45,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,8.0,21,11.0,2,0,0,69.45,100.0,5.6,2.14,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,0.0,18,12.0,2,0,0,44.45,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,8.5,18,8.0,2,0,0,64.17,100.0,3.68,2.19,Aprovado
M,Solteiro(a),Processo Seletivo - ENEM,Organização Sistemas e Métodos,30.0,0.0,9.5,24,6.0,2,0,0,92.53,100.0,7.41,7.16,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,10.0,18,5.0,2,0,0,97.92,100.0,8.35,8.35,Aprovado
F,Solteiro(a),Transferência Externa,Organização Sistemas e Métodos,30.0,8.0,8.0,20,10.0,2,0,0,50.79,77.78,1.51,2.47,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,10.0,23,5.0,2,0,0,93.4,100.0,8.41,8.41,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,0.0,9.5,20,4.0,2,0,0,94.79,100.0,8.83,8.67,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,2.0,8.5,20,11.0,2,0,0,52.58,94.44,1.79,8.91,Aprovado
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,36.0,0.0,20,11.0,2,0,0,52.58,0.0,1.79,0.4,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Organização Sistemas e Métodos,30.0,30.0,0.0,20,11.0,2,0,0,52.58,16.67,1.79,0.0,Reprovado por Freqüência
