GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Sociologia,30.0,14.0,2.0,18,8.0,2,0,0,44.77,61.11,0.63,4.4,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,9.0,7.62,18,10.0,2,0,0,79.32,75.0,6.07,6.15,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,18,10.0,2,0,0,79.32,0.0,6.07,0.92,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.5,18,10.0,2,0,0,79.32,83.33,6.07,3.78,Reprovado
M,Não informado,Vestibular,Sociologia,30.0,6.0,5.75,18,8.0,2,0,0,78.13,83.33,4.44,7.81,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.0,18,11.0,2,0,0,90.28,88.89,4.7,5.94,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,18,8.0,2,0,0,38.89,0.0,1.28,0.09,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,18.0,0.38,18,8.0,2,0,0,38.89,50.0,1.28,0.21,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.3,17,8.0,2,0,0,59.72,88.89,2.46,6.61,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.38,17,8.0,2,0,0,59.72,83.33,2.46,5.94,Reprovado
F,Não informado,Vestibular,Sociologia,30.0,4.0,8.0,26,7.0,2,0,0,95.22,88.89,5.95,7.38,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,1.25,18,4.0,2,0,0,16.05,100.0,0.25,0.25,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.5,18,8.0,2,0,0,87.35,83.33,6.02,4.74,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,4.5,20,8.0,2,0,0,74.31,88.89,3.79,5.63,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.38,18,11.0,2,0,0,89.7,83.33,5.81,6.99,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,5.38,17,7.0,2,0,0,93.06,88.89,6.52,7.43,Aprovado
M,Não informado,Vestibular,Sociologia,30.0,4.0,7.75,18,4.0,2,0,0,96.01,88.89,8.83,8.75,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,18,5.0,2,0,0,95.14,94.44,8.65,8.9,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,19.0,0.0,23,5.0,2,0,0,30.56,47.22,0.0,0.0,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Sociologia,30.0,16.0,3.5,20,10.0,2,0,0,56.19,55.56,0.46,1.26,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,6.25,19,6.0,2,0,0,91.84,88.89,6.64,7.7,Aprovado
