GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,72.0,0.0,49,8.0,4,0,0,22.22,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,4.0,0.0,29,0.0,4,0,0,58.79,94.44,3.04,0.0,Reprovado
M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,46.0,0.88,29,0.0,4,0,0,58.79,36.11,3.04,0.8,Reprovado por Freqüência
M,Casado(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,12.0,8.55,30,5.0,4,0,0,71.3,83.33,7.98,7.85,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,3.0,8.25,18,9.0,4,0,0,82.47,95.83,5.97,7.58,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,1.0,8.0,22,9.0,4,0,0,57.64,98.61,3.0,6.5,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,1.5,17,11.0,4,0,0,54.4,100.0,2.02,0.83,Reprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,72.0,0.0,17,11.0,4,0,0,54.4,0.0,2.02,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.46,18,6.0,4,0,0,94.44,97.22,8.07,7.85,Aprovado
F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,15.0,6.25,18,7.0,4,0,0,90.59,79.17,7.06,5.58,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,5.0,6.03,18,9.0,4,0,0,67.55,93.06,3.59,4.65,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,15.0,4.38,18,9.0,4,0,0,92.28,79.17,7.59,6.87,Reprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.6,18,9.0,4,0,0,92.28,97.22,7.59,8.03,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.03,18,4.0,4,0,0,96.53,97.22,8.39,8.42,Aprovado
F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,9.2,18,5.0,4,0,0,99.31,100.0,9.21,9.17,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,4.0,8.0,19,4.0,4,0,0,94.1,94.44,8.06,7.3,Aprovado
M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,24.0,4.28,24,6.0,4,0,0,75.69,66.67,6.04,5.96,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,8.0,7.12,18,9.0,4,0,0,76.28,88.89,5.11,5.18,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,8.0,5.02,18,11.0,4,0,0,69.93,88.89,4.02,4.33,Aprovado
F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,6.5,18,10.0,4,0,0,93.75,100.0,8.12,6.29,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,8.0,18,4.0,4,0,0,82.99,100.0,7.07,7.38,Aprovado
F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,9.2,17,5.0,4,0,0,98.26,97.22,9.08,9.06,Aprovado
M,Não informado,Vestibular,Sistemas Distribuídos,60.0,8.0,9.02,18,4.0,4,0,0,93.75,88.89,8.57,8.57,Aprovado
M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,2.38,18,10.0,4,0,0,79.76,100.0,3.37,1.28,Reprovado
