GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Processo Seletivo - SiSU,Tópicos de Cálculo I,60.0,4.0,5.32,19,0.0,4,0,0,90.28,94.44,6.34,5.08,Aprovado
M,Desquitado(a),Vestibular,Tópicos de Cálculo I,60.0,72.0,0.0,39,5.0,4,0,0,0.0,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - SiSU,Tópicos de Cálculo I,60.0,14.0,6.63,33,0.0,4,0,0,60.24,80.56,6.05,5.32,Aprovado
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,72.0,0.0,19,7.0,4,0,0,4.17,0.0,0.0,0.13,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,22.0,0.0,18,12.0,4,0,0,29.71,69.44,0.35,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,64.0,0.0,18,12.0,4,0,0,29.71,11.11,0.35,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,30.0,0.0,18,12.0,4,0,0,29.71,58.33,0.35,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,0.0,0.0,18,12.0,4,0,0,29.71,100.0,0.35,0.0,Reprovado
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,72.0,0.0,18,12.0,4,0,0,29.71,0.0,0.35,1.14,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,72.0,0.0,18,12.0,4,0,0,29.71,0.0,0.35,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Tópicos de Cálculo I,60.0,8.0,5.0,23,10.0,4,0,0,80.0,88.89,4.7,5.72,Aprovado
