GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Casado(a),Processo Seletivo - SiSU,Gestão da Informação,60.0,18.0,2.26,32,0.0,4,0,0,79.16,75.0,5.88,1.73,Reprovado
M,Solteiro(a),Processo Seletivo - SiSU,Gestão da Informação,60.0,33.0,2.12,33,0.0,4,0,0,70.41,54.17,4.21,5.76,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Gestão da Informação,60.0,68.0,0.0,29,0.0,4,0,0,29.86,5.56,0.0,1.14,Reprovado por Freqüência
M,Casado(a),Processo Seletivo - ENEM,Gestão da Informação,60.0,0.0,9.0,30,5.0,4,0,0,96.43,100.0,9.31,9.31,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Gestão da Informação,60.0,18.0,7.45,33,0.0,4,0,0,70.41,75.0,4.21,5.59,Aprovado
F,Solteiro(a),Processo Seletivo - SiSU,Gestão da Informação,60.0,16.0,5.2,28,0.0,4,0,0,66.67,77.78,3.43,4.97,Aprovado
F,Solteiro(a),Processo Seletivo - SiSU,Gestão da Informação,60.0,70.0,0.0,28,0.0,4,0,0,66.67,2.78,3.43,1.5,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,10.0,9.05,20,8.0,4,0,0,37.22,86.11,1.81,3.02,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,9.0,7.07,19,4.0,4,0,0,93.06,87.5,8.07,8.19,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,6.2,18,9.0,4,0,0,75.0,100.0,2.52,4.89,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,72.0,0.0,18,9.0,4,0,0,79.72,0.0,5.17,3.79,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.25,18,9.0,4,0,0,79.72,100.0,5.17,6.8,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,0.0,18,9.0,4,0,0,79.72,100.0,5.17,3.25,Reprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,5.97,17,11.0,4,0,0,55.56,100.0,1.19,4.11,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,7.0,6.16,18,4.0,4,0,0,66.47,90.28,5.45,1.77,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,5.0,9.42,17,5.0,4,0,0,82.81,93.06,6.86,8.05,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,3.0,6.65,18,6.0,4,0,0,97.02,95.83,8.56,8.18,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,10.0,10.0,18,7.0,4,0,0,87.7,86.11,8.31,7.32,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,14.0,8.65,18,9.0,4,0,0,84.55,80.56,6.91,7.96,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,7.22,18,9.0,4,0,0,84.13,100.0,4.73,5.01,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,1.0,7.18,18,4.0,4,0,0,96.23,98.61,8.32,8.34,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,19,9.0,4,0,0,88.23,100.0,7.64,2.19,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.76,18,5.0,4,0,0,99.65,100.0,7.95,7.95,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,14.0,8.3,18,9.0,4,0,0,75.97,80.56,4.89,5.24,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,12.0,8.65,18,11.0,4,0,0,43.98,83.33,2.03,4.57,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,15.0,0.44,18,11.0,4,0,0,43.98,79.17,2.03,2.53,Reprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,18,10.0,4,0,0,94.84,100.0,8.08,6.54,Aprovado
M,Não informado,Vestibular,Gestão da Informação,60.0,0.0,8.0,18,8.0,4,0,0,81.64,100.0,6.21,8.12,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,5.75,18,11.0,4,0,0,72.22,100.0,4.5,3.26,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,32.0,0.0,17,11.0,4,0,0,37.96,55.56,1.42,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Gestão da Informação,60.0,0.0,8.0,24,6.0,4,0,0,85.94,100.0,6.87,7.32,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,14.0,7.22,18,11.0,4,0,0,62.35,80.56,4.4,7.41,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,10.0,7.0,17,7.0,4,0,0,76.3,86.11,5.27,6.24,Aprovado
M,Não informado,Vestibular,Gestão da Informação,60.0,0.0,10.0,18,4.0,4,0,0,99.21,100.0,9.07,9.07,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,72.0,0.0,19,8.0,4,0,0,50.0,0.0,2.0,1.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,8.0,8.75,17,5.0,4,0,0,96.53,88.89,7.55,7.35,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,72.0,0.0,18,8.0,4,0,0,44.17,0.0,0.11,0.09,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,6.62,17,8.0,4,0,0,94.44,100.0,7.66,2.22,Aprovado
F,Não informado,Vestibular,Gestão da Informação,60.0,0.0,8.0,26,7.0,4,0,0,86.69,100.0,6.78,5.79,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,7.52,18,8.0,4,0,0,81.67,100.0,5.6,4.77,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,20,8.0,4,0,0,93.78,100.0,7.89,7.44,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.85,18,5.0,4,0,0,97.02,100.0,8.88,8.9,Aprovado
F,Solteiro(a),Transferência Externa,Gestão da Informação,60.0,72.0,0.0,20,10.0,4,0,0,50.0,0.0,2.12,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,12.0,8.75,19,6.0,4,0,0,89.06,83.33,6.79,6.87,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.0,20,4.0,4,0,0,99.21,100.0,9.29,9.29,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,12.0,9.86,20,11.0,4,0,0,86.92,83.33,7.05,5.07,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,32.0,0.0,20,11.0,4,0,0,86.92,55.56,7.05,6.13,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.1,18,5.0,4,0,0,99.4,100.0,9.02,9.14,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,36.0,0.75,24,5.0,4,0,0,44.44,50.0,2.92,0.19,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,6.32,18,11.0,4,0,0,48.86,100.0,2.21,5.82,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.55,16,5.0,4,0,0,95.24,100.0,8.4,7.65,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.85,18,5.0,4,0,0,98.41,100.0,8.85,8.99,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,19,9.0,4,0,0,78.97,100.0,6.72,7.3,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.9,25,5.0,4,0,0,95.44,100.0,8.6,8.7,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,5.75,18,7.0,4,0,0,46.3,100.0,1.92,1.51,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,18,9.0,4,0,0,76.39,100.0,5.17,6.71,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,17,9.0,4,0,0,63.43,100.0,3.74,5.69,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,6.02,19,9.0,4,0,0,70.83,100.0,3.98,5.49,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.1,17,5.0,4,0,0,98.81,100.0,8.74,8.78,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,5.2,19,7.0,4,0,0,48.47,100.0,6.06,5.28,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.65,20,5.0,4,0,0,99.01,100.0,8.36,8.56,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,36.0,0.25,18,9.0,4,0,0,67.36,50.0,0.13,0.23,Reprovado por Freqüência
M,Casado(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,23,5.0,4,0,0,97.02,100.0,8.62,7.54,Aprovado
M,Solteiro(a),Transferência Externa,Gestão da Informação,60.0,0.0,9.0,19,12.0,4,0,0,88.48,100.0,6.55,5.62,Aprovado
F,Solteiro(a),Transferência Externa,Gestão da Informação,60.0,0.0,7.6,19,5.0,4,0,0,93.25,100.0,7.5,6.36,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,20,7.0,4,0,0,99.07,100.0,8.45,7.47,Aprovado
M,Casado(a),Vestibular,Gestão da Informação,60.0,0.0,9.0,31,6.0,4,0,0,98.02,100.0,9.19,7.0,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,17,9.0,4,0,0,94.45,100.0,7.06,5.88,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,21,4.0,4,0,0,98.41,100.0,9.19,9.19,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.0,18,4.0,4,0,0,97.62,100.0,9.04,9.04,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,18,10.0,4,0,0,67.06,100.0,4.73,6.55,Aprovado
M,Casado(a),Transferência Externa,Gestão da Informação,60.0,0.0,0.0,20,7.0,4,0,0,38.89,100.0,0.0,0.0,Reprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,19,5.0,4,0,0,95.64,100.0,8.96,8.96,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,5.87,19,7.0,4,0,0,100.0,100.0,5.87,2.94,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,17,10.0,4,0,0,69.05,100.0,4.78,6.76,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,25,11.0,4,0,0,88.17,100.0,6.39,5.42,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,70.0,0.0,23,10.0,4,0,0,45.83,2.78,1.53,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,70.0,0.0,23,10.0,4,0,0,45.83,2.78,1.53,2.55,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,32.0,0.0,23,10.0,4,0,0,45.83,55.56,1.53,0.19,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,0.0,21,6.0,4,0,0,63.33,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,19,5.0,4,0,0,95.63,100.0,9.06,9.06,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,17,5.0,4,0,0,92.46,100.0,8.65,8.65,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,23,10.0,4,0,0,90.28,100.0,7.83,5.56,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,19,8.0,4,0,0,89.29,100.0,8.14,6.87,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.25,22,8.0,4,0,0,71.91,100.0,5.8,5.33,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.25,19,6.0,4,0,0,94.84,100.0,9.01,6.59,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,20,8.0,4,0,0,77.22,100.0,6.08,5.25,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,19,6.0,4,0,0,100.0,100.0,7.83,5.49,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,19,6.0,4,0,0,77.67,100.0,6.28,6.06,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,17,5.0,4,0,0,99.21,100.0,8.88,8.88,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,27,10.0,4,0,0,93.21,100.0,7.11,6.95,Aprovado
M,Solteiro(a),Transferência Externa,Gestão da Informação,60.0,0.0,10.0,24,4.0,4,0,0,97.22,100.0,9.43,9.49,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,18,11.0,4,0,0,82.29,100.0,6.63,5.65,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,17,6.0,4,0,0,95.02,100.0,7.35,5.42,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.0,26,6.0,4,0,0,95.11,100.0,8.52,8.23,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,9.0,17,5.0,4,0,0,96.69,100.0,9.06,9.13,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,19,9.0,4,0,0,82.22,100.0,6.59,3.02,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.0,20,5.0,4,0,0,97.22,100.0,8.89,7.78,Aprovado
F,Solteiro(a),Vestibular,Gestão da Informação,60.0,0.0,8.5,20,7.0,4,0,0,90.94,100.0,8.39,6.59,Aprovado
M,Solteiro(a),Vestibular,Gestão da Informação,60.0,70.0,0.0,18,8.0,4,0,0,54.86,2.78,3.88,0.0,Reprovado por Freqüência
M,Solteiro(a),Transferência Externa,Gestão da Informação,60.0,0.0,8.5,19,6.0,4,0,0,96.69,100.0,8.55,7.48,Aprovado
