GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,49,8.0,4,0,0,50.0,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,49,8.0,4,0,0,50.0,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,30,7.0,4,0,0,50.0,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - SiSU,Linguagem de Programação I,60.0,7.0,8.73,33,0.0,4,0,0,58.14,90.28,4.48,6.27,Aprovado
M,Casado(a),Processo Seletivo - ENEM,Linguagem de Programação I,60.0,6.0,9.65,30,5.0,4,0,0,65.28,91.67,5.96,9.14,Aprovado
F,Solteiro(a),Processo Seletivo - SiSU,Linguagem de Programação I,60.0,10.0,5.02,28,0.0,4,0,0,32.14,86.11,2.0,0.56,Aprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,20,8.0,4,0,0,50.29,0.0,1.32,0.08,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.0,20,8.0,4,0,0,50.29,100.0,1.32,0.0,Reprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,31.0,0.63,20,8.0,4,0,0,50.29,56.94,1.32,0.8,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,29.0,1.35,20,8.0,4,0,0,50.29,59.72,1.32,0.46,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,66.0,0.52,20,8.0,4,0,0,50.29,8.33,1.32,0.68,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,40.0,1.0,17,11.0,4,0,0,63.38,44.44,1.84,0.66,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.05,17,11.0,4,0,0,63.38,83.33,1.84,4.21,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,22.0,0.0,17,11.0,4,0,0,63.38,69.44,1.84,2.33,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,72.0,48.0,1.22,19,7.0,4,0,0,53.16,44.44,0.86,1.54,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,19,7.0,4,0,0,53.16,0.0,0.86,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.28,19,7.0,4,0,0,53.16,100.0,0.86,0.14,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.35,18,9.0,4,0,0,33.33,100.0,1.84,5.88,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.07,18,9.0,4,0,0,62.5,100.0,2.82,1.28,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,8.0,5.3,22,9.0,4,0,0,41.27,88.89,2.04,6.75,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,3.91,22,9.0,4,0,0,41.27,100.0,2.04,4.77,Reprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,6.39,18,10.0,4,0,0,41.11,100.0,1.63,0.96,Aprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,72.0,40.0,0.0,20,7.0,4,0,0,52.26,53.7,0.0,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.0,20,7.0,4,0,0,52.26,100.0,0.0,0.0,Reprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,6.52,18,9.0,4,0,0,54.37,80.56,3.12,1.73,Aprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,4.22,18,9.0,4,0,0,54.37,100.0,3.12,3.39,Reprovado
M,Solteiro(a),Processo Seletivo - ENEM,Linguagem de Programação I,60.0,7.0,5.17,24,6.0,4,0,0,79.4,90.28,5.63,7.39,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.05,19,9.0,4,0,0,30.55,83.33,1.72,5.32,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,18,9.0,4,0,0,49.8,0.0,0.74,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,50.0,0.0,18,9.0,4,0,0,49.8,30.56,0.74,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,52.0,2.67,18,9.0,4,0,0,49.8,27.78,0.74,0.89,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,44.0,0.0,18,9.0,4,0,0,49.8,38.89,0.74,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,4.45,18,9.0,4,0,0,49.8,100.0,0.74,1.57,Reprovado
M,Não informado,Vestibular,Linguagem de Programação I,72.0,4.0,0.0,18,6.0,4,0,0,66.41,95.37,1.43,0.25,Reprovado
M,Não informado,Vestibular,Linguagem de Programação I,60.0,72.0,0.0,18,6.0,4,0,0,66.41,0.0,1.43,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,6.82,18,6.0,4,0,0,97.92,100.0,8.33,8.33,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.61,18,8.0,4,0,0,82.94,100.0,6.43,5.57,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,18.0,2.28,18,10.0,4,0,0,78.82,75.0,4.94,3.78,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.62,18,10.0,4,0,0,78.82,83.33,4.94,5.84,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,16.0,3.45,18,10.0,4,0,0,78.82,77.78,4.94,0.86,Reprovado por Freqüência
M,Não informado,Vestibular,Linguagem de Programação I,60.0,0.0,5.25,18,8.0,4,0,0,95.37,100.0,7.66,2.3,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,17.0,1.9,18,11.0,4,0,0,83.8,76.39,3.86,3.85,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,0.9,18,11.0,4,0,0,83.8,80.56,3.86,2.4,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,5.0,1.65,18,11.0,4,0,0,83.8,93.06,3.86,5.78,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,10.0,0.85,18,11.0,4,0,0,83.8,86.11,3.86,4.59,Reprovado
M,Não informado,Vestibular,Linguagem de Programação I,60.0,0.0,0.0,20,6.0,4,0,0,59.52,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,42.0,0.0,17,11.0,4,0,0,63.56,41.67,1.82,0.19,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,6.05,17,11.0,4,0,0,63.56,80.56,1.82,4.87,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,3.62,17,11.0,4,0,0,63.56,80.56,1.82,4.13,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,22.0,0.8,17,11.0,4,0,0,63.56,69.44,1.82,0.44,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,58.0,0.62,17,11.0,4,0,0,63.56,19.44,1.82,0.12,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,8.02,18,4.0,4,0,0,93.98,100.0,6.99,6.99,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,5.05,18,8.0,4,0,0,75.0,80.56,2.61,4.74,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,2.43,18,8.0,4,0,0,75.0,100.0,2.61,2.34,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,5.25,20,8.0,4,0,0,85.07,80.56,4.36,5.63,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.35,20,8.0,4,0,0,85.07,100.0,4.36,2.25,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,6.82,18,11.0,4,0,0,68.25,100.0,5.09,6.07,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.22,17,7.0,4,0,0,95.37,100.0,6.87,2.17,Aprovado
M,Não informado,Vestibular,Linguagem de Programação I,60.0,24.0,0.72,18,8.0,4,0,0,64.82,66.67,1.29,2.25,Reprovado por Freqüência
M,Não informado,Vestibular,Linguagem de Programação I,60.0,72.0,0.0,18,8.0,4,0,0,64.82,0.0,1.29,0.0,Reprovado por Freqüência
M,Não informado,Vestibular,Linguagem de Programação I,60.0,42.0,0.0,18,8.0,4,0,0,64.82,41.67,1.29,0.0,Reprovado por Freqüência
M,Não informado,Vestibular,Linguagem de Programação I,60.0,22.0,1.1,18,8.0,4,0,0,64.82,69.44,1.29,2.27,Reprovado por Freqüência
M,Não informado,Vestibular,Linguagem de Programação I,60.0,0.0,9.2,18,4.0,4,0,0,95.37,100.0,8.52,2.55,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,40.0,1.3,20,11.0,4,0,0,62.41,44.44,2.74,4.1,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,5.0,20,11.0,4,0,0,62.41,80.56,2.74,1.0,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,54.0,0.0,20,11.0,4,0,0,62.41,25.0,2.74,0.41,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.34,19,8.0,4,0,0,86.51,100.0,5.06,5.36,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.66,17,5.0,4,0,0,95.37,100.0,6.57,1.97,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,56.0,0.0,18,8.0,4,0,0,79.96,22.22,2.21,0.21,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,50.0,0.47,18,8.0,4,0,0,79.96,30.56,2.21,1.95,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,18,8.0,4,0,0,79.96,0.0,2.21,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.2,17,8.0,4,0,0,98.15,100.0,7.18,7.18,Aprovado
F,Não informado,Vestibular,Linguagem de Programação I,60.0,26.0,3.6,26,7.0,4,0,0,85.72,63.89,6.68,7.38,Reprovado por Freqüência
F,Não informado,Vestibular,Linguagem de Programação I,60.0,15.0,5.0,26,7.0,4,0,0,85.72,79.17,6.68,4.65,Aprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,72.0,66.0,1.38,20,5.0,4,0,0,69.64,23.61,5.95,6.46,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,6.0,9.7,18,5.0,4,0,0,94.45,91.67,7.77,8.06,Aprovado
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,64.0,0.9,20,10.0,4,0,0,71.67,11.11,2.07,1.26,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,72.0,0.0,20,10.0,4,0,0,71.67,0.0,2.07,1.0,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,22.0,0.75,20,10.0,4,0,0,71.67,69.44,2.07,2.6,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,43.0,0.0,20,10.0,4,0,0,71.67,40.28,2.07,0.0,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,72.0,0.0,20,10.0,4,0,0,71.67,0.0,2.07,0.0,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Linguagem de Programação I,60.0,39.0,0.0,20,10.0,4,0,0,71.67,45.83,2.07,0.22,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,4.0,5.55,23,5.0,4,0,0,97.78,94.44,6.89,6.89,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,18,6.0,4,0,0,68.62,0.0,3.32,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.7,19,6.0,4,0,0,95.37,100.0,7.18,2.05,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,8.75,20,4.0,4,0,0,99.07,100.0,8.9,8.9,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,16.0,4.6,16,5.0,4,0,0,81.02,77.78,4.63,5.53,Reprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,4.0,8.45,16,5.0,4,0,0,81.02,94.44,4.63,8.38,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,9.0,18,5.0,4,0,0,83.33,100.0,5.8,7.61,Aprovado
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,46.0,1.05,19,9.0,4,0,0,88.3,36.11,3.26,5.05,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.72,19,9.0,4,0,0,88.3,83.33,3.26,4.71,Aprovado
M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,20.0,0.4,18,7.0,4,0,0,75.0,72.22,4.25,4.5,Reprovado por Freqüência
