PERIODO_IDEAL ,GENERO ,ESTADO_CIVIL  ,FORMA_INGRESSO               ,NOME_ATIV_CURRIC                               ,CH_TOTAL ,NUM_FALTAS ,MEDIA_FINAL ,SITUACAO                 ,IDADE_PRIMEIRO_ANO ,DURACAO_CURSO ,CREDITO_TEORICO ,CREDITO_PRATICO ,CREDITO_CAMPO ,PERCENTUAL_FREQUENCIA_PERIODO ,PERCENTUAL_FREQUENCIA_DISCIPLINA ,MEDIA_PERIODO ,MEDIA_SEMESTRE ,FORMA_EVASAO
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - ENEM     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                28 ,          3.0 ,              4 ,              0 ,            0 ,                        73.89 ,                          100.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.25 ,Aprovado                 ,                23 ,         10.0 ,              4 ,              0 ,            0 ,                        60.61 ,                          100.0  ,         3.27 ,          8.48 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      68.0 ,       0.0  ,Reprovado por Freqüência ,                23 ,         10.0 ,              4 ,              0 ,            0 ,                        60.61 ,                            5.56 ,         3.27 ,          0.44 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                23 ,         10.0 ,              4 ,              0 ,            0 ,                        60.61 ,                            0.0  ,         3.27 ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      70.0 ,       0.0  ,Reprovado por Freqüência ,                19 ,          7.0 ,              4 ,              0 ,            0 ,                         4.17 ,                            2.78 ,         0.07 ,          0.14 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,         12.0 ,              4 ,              0 ,            0 ,                        51.83 ,                            0.0  ,         1.09 ,          1.3  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        44.2  ,                          100.0  ,         1.3  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        44.2  ,                            0.0  ,         1.3  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      68.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        44.2  ,                            5.56 ,         1.3  ,          0.67 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        44.2  ,                            0.0  ,         1.3  ,          3.4  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.0  ,Aprovado                 ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        24.65 ,                           97.22 ,         2.17 ,          8.0  ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      16.0 ,       5.0  ,Aprovado                 ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                           77.78 ,         0.93 ,          3.16 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                          100.0  ,         0.93 ,          6.29 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                            0.0  ,         0.93 ,          0.0  ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                          100.0  ,         0.93 ,          5.85 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      14.0 ,       0.0  ,Reprovado                ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                           80.56 ,         0.93 ,          4.88 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,         10.0 ,              4 ,              0 ,            0 ,                        34.65 ,                            0.0  ,         0.93 ,          0.0  ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    72.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                20 ,          7.0 ,              4 ,              0 ,            0 ,                         2.08 ,                           16.67 ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      62.0 ,       0.0  ,Reprovado por Freqüência ,                18 ,          7.0 ,              4 ,              0 ,            0 ,                        42.01 ,                           13.89 ,         0.94 ,          0.94 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - ENEM     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       5.5  ,Aprovado                 ,                24 ,          6.0 ,              4 ,              0 ,            0 ,                        59.03 ,                          100.0  ,         5.38 ,          2.96 ,Formado
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,      66.0 ,       0.0  ,Reprovado por Freqüência ,                31 ,          2.0 ,              4 ,              0 ,            0 ,                        24.3  ,                            8.33 ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                28 ,          4.0 ,              4 ,              0 ,            0 ,                        43.81 ,                          100.0  ,         0.14 ,          0.19 ,Jubilamento
            1 ,M      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      66.0 ,       0.0  ,Reprovado por Freqüência ,                33 ,          6.0 ,              4 ,              0 ,            0 ,                        29.86 ,                            8.33 ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.9  ,Aprovado                 ,                18 ,          5.0 ,              4 ,              0 ,            0 ,                        98.61 ,                          100.0  ,         9.07 ,          9.07 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                25 ,          5.0 ,              4 ,              0 ,            0 ,                        87.5  ,                            0.0  ,         5.16 ,          0.0  ,Desistência
