PERIODO_IDEAL,GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,SITUACAO,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,FORMA_EVASAO
6,F,Solteiro(a),Vestibular,Sociologia,30.0,8.0,1.75,Reprovado por Freqüência,20,7.0,2,0,0,57.81,77.78,2.34,3.72,Desistência
6,M,Não informado,Vestibular,Sociologia,30.0,30.0,0.5,Reprovado por Freqüência,18,6.0,2,0,0,16.67,16.67,0.5,0.25,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,18,8.0,2,0,0,44.77,0.0,0.63,0.0,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,16.0,0.0,Reprovado por Freqüência,18,8.0,2,0,0,44.77,55.56,0.63,1.37,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,18,8.0,2,0,0,44.77,100.0,0.63,2.19,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,14.0,2.0,Reprovado por Freqüência,18,8.0,2,0,0,44.77,61.11,0.63,4.4,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,9.0,7.62,Aprovado,18,10.0,2,0,0,79.32,75.0,6.07,6.15,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,18,10.0,2,0,0,79.32,0.0,6.07,0.92,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.5,Reprovado,18,10.0,2,0,0,79.32,83.33,6.07,3.78,Jubilamento
6,M,Não informado,Vestibular,Sociologia,30.0,6.0,5.75,Aprovado,18,8.0,2,0,0,78.13,83.33,4.44,7.81,Formado
