PERIODO_IDEAL,GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,SITUACAO,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,FORMA_EVASAO
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,49,8.0,4,0,0,50.0,0.0,0.0,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,49,8.0,4,0,0,50.0,0.0,0.0,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,30,7.0,4,0,0,50.0,0.0,0.0,0.0,Jubilamento
3,M,Solteiro(a),Processo Seletivo - SiSU,Linguagem de Programação I,60.0,7.0,8.73,Aprovado,33,0.0,4,0,0,58.14,90.28,4.48,6.27,Sem Evasão
3,M,Casado(a),Processo Seletivo - ENEM,Linguagem de Programação I,60.0,6.0,9.65,Aprovado,30,5.0,4,0,0,65.28,91.67,5.96,9.14,Formado
3,F,Solteiro(a),Processo Seletivo - SiSU,Linguagem de Programação I,60.0,10.0,5.02,Aprovado,28,0.0,4,0,0,32.14,86.11,2.0,0.56,Sem Evasão
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,20,8.0,4,0,0,50.29,0.0,1.32,0.08,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.0,Reprovado,20,8.0,4,0,0,50.29,100.0,1.32,0.0,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,31.0,0.63,Reprovado por Freqüência,20,8.0,4,0,0,50.29,56.94,1.32,0.8,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,29.0,1.35,Reprovado por Freqüência,20,8.0,4,0,0,50.29,59.72,1.32,0.46,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,66.0,0.52,Reprovado por Freqüência,20,8.0,4,0,0,50.29,8.33,1.32,0.68,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,40.0,1.0,Reprovado por Freqüência,17,11.0,4,0,0,63.38,44.44,1.84,0.66,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.05,Aprovado,17,11.0,4,0,0,63.38,83.33,1.84,4.21,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,22.0,0.0,Reprovado por Freqüência,17,11.0,4,0,0,63.38,69.44,1.84,2.33,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,72.0,48.0,1.22,Reprovado por Freqüência,19,7.0,4,0,0,53.16,44.44,0.86,1.54,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,19,7.0,4,0,0,53.16,0.0,0.86,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.28,Reprovado,19,7.0,4,0,0,53.16,100.0,0.86,0.14,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.35,Aprovado,18,9.0,4,0,0,33.33,100.0,1.84,5.88,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.07,Aprovado,18,9.0,4,0,0,62.5,100.0,2.82,1.28,Formado
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,8.0,5.3,Aprovado,22,9.0,4,0,0,41.27,88.89,2.04,6.75,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,3.91,Reprovado,22,9.0,4,0,0,41.27,100.0,2.04,4.77,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,6.39,Aprovado,18,10.0,4,0,0,41.11,100.0,1.63,0.96,Formado
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,72.0,40.0,0.0,Reprovado por Freqüência,20,7.0,4,0,0,52.26,53.7,0.0,0.0,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,0.0,Reprovado,20,7.0,4,0,0,52.26,100.0,0.0,0.0,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,6.52,Aprovado,18,9.0,4,0,0,54.37,80.56,3.12,1.73,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,4.22,Reprovado,18,9.0,4,0,0,54.37,100.0,3.12,3.39,Jubilamento
3,M,Solteiro(a),Processo Seletivo - ENEM,Linguagem de Programação I,60.0,7.0,5.17,Aprovado,24,6.0,4,0,0,79.4,90.28,5.63,7.39,Formado
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.05,Aprovado,19,9.0,4,0,0,30.55,83.33,1.72,5.32,Formado
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,18,9.0,4,0,0,49.8,0.0,0.74,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,50.0,0.0,Reprovado por Freqüência,18,9.0,4,0,0,49.8,30.56,0.74,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,52.0,2.67,Reprovado por Freqüência,18,9.0,4,0,0,49.8,27.78,0.74,0.89,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,44.0,0.0,Reprovado por Freqüência,18,9.0,4,0,0,49.8,38.89,0.74,0.0,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,4.45,Reprovado,18,9.0,4,0,0,49.8,100.0,0.74,1.57,Jubilamento
3,M,Não informado,Vestibular,Linguagem de Programação I,72.0,4.0,0.0,Reprovado,18,6.0,4,0,0,66.41,95.37,1.43,0.25,Jubilamento
3,M,Não informado,Vestibular,Linguagem de Programação I,60.0,72.0,0.0,Reprovado por Freqüência,18,6.0,4,0,0,66.41,0.0,1.43,0.0,Jubilamento
3,F,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,6.82,Aprovado,18,6.0,4,0,0,97.92,100.0,8.33,8.33,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,0.0,5.61,Aprovado,18,8.0,4,0,0,82.94,100.0,6.43,5.57,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,18.0,2.28,Reprovado,18,10.0,4,0,0,78.82,75.0,4.94,3.78,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,12.0,5.62,Aprovado,18,10.0,4,0,0,78.82,83.33,4.94,5.84,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,16.0,3.45,Reprovado por Freqüência,18,10.0,4,0,0,78.82,77.78,4.94,0.86,Jubilamento
3,M,Não informado,Vestibular,Linguagem de Programação I,60.0,0.0,5.25,Aprovado,18,8.0,4,0,0,95.37,100.0,7.66,2.3,Formado
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,17.0,1.9,Reprovado,18,11.0,4,0,0,83.8,76.39,3.86,3.85,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,14.0,0.9,Reprovado,18,11.0,4,0,0,83.8,80.56,3.86,2.4,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,5.0,1.65,Reprovado,18,11.0,4,0,0,83.8,93.06,3.86,5.78,Jubilamento
3,M,Solteiro(a),Vestibular,Linguagem de Programação I,60.0,10.0,0.85,Reprovado,18,11.0,4,0,0,83.8,86.11,3.86,4.59,Jubilamento
